City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Ucluelet,CA,82.04,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
391,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
392,Ugoofaaru,MV,82.04,overcast clouds,5.6667,73.0,Ungoofaaru Inn
394,Along,IN,76.69,overcast clouds,28.1667,94.7667,Hotel West
400,Mitsamiouli,KM,76.23,overcast clouds,-11.3847,43.2844,Foyer ADM
401,Samarai,PG,78.3,light rain,-10.6167,150.6667,Nuli Sapi
402,Kemalpasa,TR,81.18,clear sky,38.4262,27.4173,Kemalpaşa Öğretmen Evi
406,Kashi,CN,89.22,clear sky,39.4547,75.9797,帕米尔青年旅舍
412,Bud,US,88.21,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
416,Ryotsu,JP,77.65,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
423,Naze,JP,77.86,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
429,Bintulu,MY,81.01,scattered clouds,3.1667,113.0333,900 Boutique INN
434,Upata,VE,77.09,overcast clouds,8.0086,-62.3989,Posada Villa Nela
435,Sultanpur,IN,85.53,overcast clouds,26.2667,82.0667,OYO 49568 Vrindavan Guest House
436,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
438,Laramie,US,84.58,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
440,Kirakira,SB,78.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
442,Surt,LY,80.49,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
445,Westport,US,83.95,overcast clouds,41.1415,-73.3579,The Westport Inn
447,Lalmohan,BD,82.87,overcast clouds,22.3384,90.7419,Sundorbon courier service
448,Mecca,SA,88.84,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
449,Teknaf,BD,79.07,overcast clouds,20.8624,92.3058,Forestry Guesthouse
451,Mana,GF,79.86,overcast clouds,5.6592,-53.7767,LE SAMANA
453,Bairiki,KI,75.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
460,Baracoa,CU,87.78,few clouds,20.3467,-74.4958,Hostal Rio Miel
464,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
469,Fukue,JP,79.57,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
473,Biltine,TD,78.4,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
474,Ilovlya,RU,76.3,few clouds,49.3033,43.9796,"Tri Sosny, Baza Otdykha"
475,Methoni,GR,82.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
480,Wanning,CN,79.14,broken clouds,18.8003,110.3967,Paradise Hotel
486,Hillsboro,US,88.86,clear sky,45.5229,-122.9898,Budget Inn-Hillsboro
491,Rameswaram,IN,83.98,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
493,Bilma,NE,86.67,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
494,Bumba,CD,75.34,overcast clouds,2.1833,22.4667,Hôtel Cape Town
495,Paea,PF,82.11,few clouds,-17.6833,-149.5833,Marama Lodge
498,Hirara,JP,83.41,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
509,Ifo,NG,82.02,few clouds,6.8144,3.1958,Footed Hotel and Suites
512,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
517,Matara,LK,77.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
518,Tarija,BO,84.11,overcast clouds,-21.5355,-64.7296,Hostal Granny
519,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
521,Wilmington,US,88.99,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
522,Jaisalmer,IN,89.98,heavy intensity rain,26.9147,70.9181,Hotel Fifu
523,Nuzvid,IN,82.2,overcast clouds,16.7833,80.85,HI-TECH LODGE
526,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
533,Ismailia,EG,79.21,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
535,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Paradise Bay Resort
536,Kloulklubed,PW,83.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
539,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
545,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
546,Cumra,TR,75.34,light rain,37.5732,32.7745,Catalhoyuk Hotel
550,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
551,Turan,VN,86.05,scattered clouds,16.0678,108.2208,Sun River Hotel
553,Buala,SB,79.3,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
