City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Zaragoza,ES,41.6561,-0.8773,77.81,44,20,7.0,few clouds
222,Deputatskiy,RU,69.3,139.9,46.22,71,5,3.04,clear sky
223,Letlhakane,BW,-21.4167,25.5833,48.61,59,0,12.71,clear sky
224,Kaitangata,NZ,-46.2817,169.8464,48.92,73,100,3.02,overcast clouds
225,Altay,CN,47.8667,88.1167,66.52,56,89,4.09,overcast clouds
226,Ostrovskoye,RU,57.8057,42.2433,59.61,53,100,2.86,overcast clouds
227,Salinopolis,BR,-0.6136,-47.3561,82.47,73,92,10.51,overcast clouds
228,Daru,PG,-9.0763,143.2092,76.48,83,52,13.18,broken clouds
229,Ternate,ID,0.8,127.4,80.29,79,100,5.3,overcast clouds
230,Vao,NC,-22.6667,167.4833,71.38,70,54,15.75,broken clouds
231,Avera,US,33.194,-82.5271,91.9,50,84,4.41,broken clouds
232,Khash,IR,28.2211,61.2158,86.56,13,9,2.57,clear sky
233,Hobyo,SO,5.3505,48.5268,76.66,75,29,24.96,scattered clouds
234,Mehamn,NO,71.0357,27.8492,46.58,81,75,11.5,broken clouds
235,Hlobyne,UA,49.3878,33.2596,70.81,56,13,6.62,few clouds
236,Scottsbluff,US,41.8666,-103.6672,96.78,31,1,7.0,clear sky
237,Sungaipenuh,ID,-2.0833,101.3833,63.37,96,10,3.18,clear sky
238,Barrow,US,71.2906,-156.7887,44.62,92,90,12.66,overcast clouds
239,Talnakh,RU,69.4865,88.3972,55.8,93,100,4.88,overcast clouds
240,Arica,CL,-18.475,-70.3042,62.83,72,90,10.36,overcast clouds
241,Ankara,TR,39.9199,32.8543,74.32,53,4,1.99,clear sky
242,Middlebury,US,44.0153,-73.1673,85.87,69,40,8.05,scattered clouds
243,Balad,IQ,34.0164,44.1453,100.8,16,0,11.92,clear sky
244,Yumen,CN,40.2833,97.2,76.3,33,4,10.07,clear sky
245,Khasan,RU,42.4308,130.6434,73.2,96,68,2.57,broken clouds
246,Igarka,RU,67.4667,86.5833,53.83,96,71,4.63,broken clouds
247,Pervomayskiy,RU,53.2485,40.2871,60.13,49,100,4.29,overcast clouds
248,Ordynskoye,RU,54.3656,81.8994,67.21,82,95,1.77,overcast clouds
249,Hermanus,ZA,-34.4187,19.2345,61.9,53,100,9.73,overcast clouds
250,Fairbanks,US,64.8378,-147.7164,66.09,58,75,1.01,broken clouds
251,Salalah,OM,17.0151,54.0924,78.89,89,75,8.05,broken clouds
252,Severo-Kurilsk,RU,50.6789,156.125,55.06,97,86,3.8,overcast clouds
253,Cuncolim,IN,15.1667,73.9833,78.67,88,70,14.16,broken clouds
254,Lianzhou,CN,24.7811,112.3825,76.26,92,4,1.97,clear sky
255,Chabahar,IR,25.2919,60.643,85.14,79,44,0.85,scattered clouds
256,Cayenne,GF,4.9333,-52.3333,78.84,90,0,2.3,heavy intensity rain
257,Sisimiut,GL,66.9395,-53.6735,44.28,78,100,3.8,light rain
258,Saskylakh,RU,71.9167,114.0833,55.15,68,85,13.8,overcast clouds
259,Aravete,EE,59.1403,25.7485,65.59,75,13,3.2,few clouds
260,Yar-Sale,RU,66.8333,70.8333,45.52,84,51,9.1,broken clouds
261,Tigre,AR,-34.426,-58.5796,59.0,90,90,10.36,overcast clouds
262,Bulancak,TR,40.9372,38.2291,75.02,83,40,0.0,scattered clouds
263,Khilok,RU,51.3674,110.4676,55.33,81,97,2.26,overcast clouds
264,Irbeyskoye,RU,55.6428,95.4522,61.11,73,0,3.69,clear sky
265,Kruisfontein,ZA,-34.0033,24.7314,54.28,37,70,5.91,broken clouds
266,Olafsvik,IS,64.8945,-23.7142,49.75,91,72,17.34,light rain
267,Skibbereen,IE,51.55,-9.2667,69.6,86,14,0.74,few clouds
268,Parkes,AU,-33.1333,148.1833,45.36,74,41,6.15,scattered clouds
269,Meulaboh,ID,4.1363,96.1285,76.95,87,97,3.76,overcast clouds
270,Ventspils,LV,57.3894,21.5606,64.33,68,0,5.75,clear sky
271,Mackay,AU,-21.15,149.2,46.38,81,8,5.75,clear sky
272,Hammerfest,NO,70.6634,23.6821,46.85,81,75,4.61,broken clouds
273,Ranong,TH,9.9658,98.6348,78.82,88,100,7.63,overcast clouds
274,Amberley,US,39.2048,-84.428,90.54,66,40,1.99,scattered clouds
275,Newport,GB,51.5877,-2.9984,69.03,75,96,5.91,overcast clouds
276,Torbay,CA,47.6666,-52.7314,62.28,87,75,10.36,broken clouds
277,Mezen,RU,65.8522,44.24,46.56,81,100,6.89,overcast clouds
278,Namanga,KE,-2.5433,36.7905,66.11,46,97,10.0,overcast clouds
279,Penzance,GB,50.1186,-5.5371,63.61,86,13,9.71,few clouds
280,Acapulco,MX,16.8634,-99.8901,87.62,74,40,10.36,scattered clouds
281,Chengde,CN,40.9725,117.9361,68.95,96,99,3.0,light rain
282,Zabol,AF,32.25,67.25,81.55,16,0,9.17,clear sky
283,Veraval,IN,20.9,70.3667,79.92,86,100,9.69,overcast clouds
284,Guiratinga,BR,-16.3494,-53.7583,89.22,19,5,6.98,clear sky
285,Kununurra,AU,-15.7667,128.7333,58.98,82,99,3.44,overcast clouds
286,Hami,CN,42.8,93.45,85.69,19,0,8.93,clear sky
287,Tanout,NE,14.9709,8.8879,90.9,43,94,17.63,overcast clouds
288,Ostrovnoy,RU,68.0531,39.5131,45.79,90,100,16.26,overcast clouds
289,Auchi,NG,7.0667,6.2667,70.75,95,49,4.03,scattered clouds
290,Gbarnga,LR,6.9956,-9.4722,71.17,94,43,3.04,scattered clouds
291,Pauini,BR,-7.7136,-66.9764,98.69,27,36,2.64,scattered clouds
292,Leningradskiy,RU,69.3833,178.4167,37.8,90,100,4.65,overcast clouds
293,Lompoc,US,34.6391,-120.4579,84.34,66,99,5.99,overcast clouds
294,Erzin,TR,36.9559,36.2,81.32,78,0,1.99,clear sky
295,Asmar,AF,35.0333,71.3581,84.69,67,0,1.59,clear sky
296,Corumba,BR,-19.0092,-57.6533,94.91,28,0,11.5,clear sky
297,Shiraz,IR,29.6036,52.5388,92.64,7,0,9.22,clear sky
298,Setermoen,NO,68.861,18.3486,53.56,95,97,2.73,overcast clouds
299,Msanga,TZ,-6.05,36.0333,60.66,57,5,3.51,clear sky
300,Dubovskoye,RU,47.4092,42.7575,75.31,38,0,9.55,clear sky
301,Erenhot,CN,43.6475,111.9767,63.25,72,100,21.32,overcast clouds
