City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Longyearbyen,SJ,2021-07-21 21:20:48,78.2186,15.6401,40.84,70,20,13.8
118,Nouadhibou,MR,2021-07-21 21:20:48,20.931,-17.0347,69.78,83,0,19.57
119,Maralal,KE,2021-07-21 21:20:49,1.0968,36.698,59.94,81,85,3.98
120,Quang Ngai,VN,2021-07-21 21:20:49,15.1167,108.8,77.29,84,100,5.3
121,Dikson,RU,2021-07-21 21:19:24,73.5069,80.5464,49.98,65,99,18.03
122,Geraldton,AU,2021-07-21 21:18:09,-28.7667,114.6,55.81,100,90,0.0
123,Manapparai,IN,2021-07-21 21:20:50,10.6,78.4167,81.46,51,100,21.27
124,Warri,NG,2021-07-21 21:20:50,5.5167,5.75,75.81,79,96,4.47
125,Mount Pleasant,US,2021-07-21 21:20:25,32.7941,-79.8626,89.01,69,40,1.01
126,Narrabri,AU,2021-07-21 21:20:51,-30.3167,149.7833,36.81,82,42,2.48
127,Ancud,CL,2021-07-21 21:19:27,-41.8697,-73.8203,51.33,84,100,12.64
128,Flinders,AU,2021-07-21 21:16:03,-34.5833,150.8552,44.2,81,2,1.01
129,Ihiala,NG,2021-07-21 21:20:51,5.8538,6.8603,73.24,87,100,5.48
130,Aksehir,TR,2021-07-21 21:17:05,38.3575,31.4164,70.95,64,0,7.49
131,Jaciara,BR,2021-07-21 21:20:52,-15.9653,-54.9683,83.44,20,7,3.78
132,Castro,BR,2021-07-21 21:17:33,-24.7911,-50.0119,53.73,57,7,2.06
133,Pochutla,MX,2021-07-21 21:16:51,15.7432,-96.4661,92.82,51,48,6.53
134,Babu,CN,2021-07-21 21:20:53,24.4167,111.5167,75.63,95,100,2.91
135,Kamenka,RU,2021-07-21 21:20:53,51.3223,42.7678,64.56,94,100,3.98
136,Lavrentiya,RU,2021-07-21 21:19:36,65.5833,-171.0,41.41,76,100,10.42
137,Yafran,LY,2021-07-21 21:20:53,32.0633,12.5286,70.74,61,0,3.53
138,Berlevag,NO,2021-07-21 21:20:54,70.8578,29.0864,44.55,81,75,31.07
139,Ponta Do Sol,PT,2021-07-21 21:19:42,32.6667,-17.1,73.71,82,0,2.95
140,The Valley,AI,2021-07-21 21:20:54,18.217,-63.0578,85.86,74,75,14.97
141,Lorengau,PG,2021-07-21 21:19:22,-2.0226,147.2712,81.0,77,75,2.44
